Patient,Session,File,Motion Mean,Motion Std,Motion Max,Motion Min,Motion P10,Motion P50,Motion P90,Jacobian Mean,Jacobian Std,Jacobian Min,Jacobian Max,JAC0%,JAC2%,μHE,QA_JAC0,QA_JAC2,QA_HE,QA_Passed
pt011,MR1,002_to_001_warp.nii.gz,0.363472509077912,0.441189924849956,9.561985220778203,0.0015507315852188682,0.08282750973940488,0.22378870257068254,0.776503600008145,0.9980038291707437,0.2543982170212007,-0.3378474642261052,11.365419032974142,0.003359375,0.588359375,0.15011678382045135,True,True,True,True
pt011,MR1,003_to_002_warp.nii.gz,0.34789251911500546,0.4304040354874713,9.85246001761767,0.0013627960646694153,0.07829606023028869,0.21604649644162743,0.7345784789394566,0.9976212618229703,0.2327636770572304,-0.4162440493997754,10.118238650183656,0.00734375,0.513125,0.1400072295850749,True,True,True,True
pt011,MR1,004_to_003_warp.nii.gz,0.34771541429244895,0.42117628127055545,7.6708561927605565,0.0009887168087734288,0.0772692438975298,0.212490467863912,0.7459732514311731,1.0008221965074426,0.24784149787099177,-0.14916609292465424,14.56745240720953,0.003203125,0.57921875,0.13590626225647334,True,True,True,True
pt011,MR1,005_to_004_warp.nii.gz,0.40082857789706283,0.5084302077290517,10.08768752093675,0.0008607582495392221,0.08223731264478364,0.23723795613615697,0.8781879962403387,0.9978517728150628,0.27718135441692554,-2.6034975804133462,18.068373361110606,0.015,0.619609375,0.17575666399836984,True,True,True,True
pt011,MR1,006_to_005_warp.nii.gz,0.3300718207968312,0.41589553179519095,10.608526778755468,0.0007239167091482927,0.07658620931246428,0.20797610832726365,0.6766772347750551,1.0000947674179341,0.23140985802056036,-1.8589252686315303,17.526372087803523,0.0109375,0.462578125,0.12950170705224892,True,True,True,True
pt011,MR1,007_to_006_warp.nii.gz,0.3751067527242749,0.43715716632039486,8.88339346170143,0.001267876949138048,0.08397131371446097,0.24135703871419623,0.7946980436257346,0.9967791527213918,0.2552853162811385,-0.419103029332927,15.363505854719671,0.003984375,0.476171875,0.151339606738855,True,True,True,True
pt011,MR1,008_to_007_warp.nii.gz,0.34275173084439486,0.4227560513921224,8.05638648829946,0.0007619331487258217,0.07507109497453326,0.20926906616325108,0.7298766967256247,1.0001620814151588,0.22678856564064664,-0.11570248741065542,11.596452059931035,0.00203125,0.441953125,0.12469158329978364,True,True,True,True
pt011,MR1,009_to_008_warp.nii.gz,0.3451141315796184,0.45551642828685524,7.564361856971063,0.0015314408734603026,0.07483946559519548,0.20142045085569077,0.731675157926624,0.998624554876977,0.2487831825048872,-0.38872226431398205,17.139052402193258,0.005546875,0.610703125,0.14616982148093455,True,True,True,True
pt011,MR1,010_to_009_warp.nii.gz,0.340667136712041,0.4278758173997219,8.392795386978872,0.0008978445282036337,0.0765934245541259,0.20931430438226098,0.7117479471964884,0.9978037568404481,0.241686855389965,-0.2210491564802551,13.447027282893961,0.005703125,0.526875,0.14028715887661825,True,True,True,True
pt011,MR1,011_to_010_warp.nii.gz,0.37174670322393105,0.4764471541864395,9.890380686542171,0.0019797915774175164,0.07777869553417287,0.2210584077913808,0.7984268952128598,1.0002278350432627,0.25481372453641604,-3.219732046783605,19.68451186546017,0.00609375,0.574296875,0.14962648303344672,True,True,True,True
pt011,MR1,012_to_011_warp.nii.gz,0.3572839655770494,0.44073776855119856,9.446875529893001,0.0011581116245476721,0.07778996178519908,0.21863271460372957,0.7582050016344526,0.9965307252204589,0.25617670496849737,-0.3587359006579473,19.04070920538773,0.0040625,0.58109375,0.14523000842664804,True,True,True,True
pt011,MR1,013_to_012_warp.nii.gz,0.39081658122391694,0.4784357233564378,9.930146024191261,0.0011117642132952516,0.07867305334390774,0.22834893221971145,0.8879296659826944,0.9987765657647113,0.2539458473811335,-0.25147305180076235,17.087490605774907,0.004296875,0.534453125,0.15532395409508298,True,True,True,True
pt011,MR1,014_to_013_warp.nii.gz,0.47834697889551736,0.5501951082383439,8.788192226414182,0.001198859751498893,0.08661816506563981,0.27087601077109585,1.17575118587379,1.0024727086727572,0.29050410873914545,-1.2011674925221025,13.51826813114647,0.004609375,1.018203125,0.19155088272208992,True,True,True,True
pt011,MR1,015_to_014_warp.nii.gz,0.3872514608349639,0.4769152352872546,10.560679071856867,0.001388128685018162,0.08290203459760571,0.235768669732775,0.8343825593303325,0.9955385750423819,0.28130318909109203,-0.2593174139666829,17.197106157136474,0.00234375,0.621328125,0.1705781800363244,True,True,True,True
pt011,MR1,016_to_015_warp.nii.gz,0.4132708706138421,0.4656692303398378,6.760505509043156,0.0015875728028167159,0.08661008875300637,0.25007914312955104,0.9383624967647519,1.002150643341208,0.290207811682912,-0.2602510986922791,18.711004910734722,0.00109375,0.9571875,0.17613893377547402,True,True,True,True
pt011,MR1,017_to_016_warp.nii.gz,0.3983803006937623,0.4858641720197575,7.407655263037185,0.001407864297278784,0.08146067867642812,0.23539305110170616,0.8834472630063239,0.9976854097223773,0.2826895448467694,-0.8609354096298922,24.919472043857652,0.00359375,0.768828125,0.17550999238270037,True,True,True,True
pt011,MR1,018_to_017_warp.nii.gz,0.36695879058187647,0.47614562639108393,7.461009637551507,0.0014741710299063238,0.0766854163476386,0.21326812245808857,0.7907555972917534,0.9996612940451156,0.269014786864361,-1.0302705954111813,13.135878732180176,0.010859375,0.71984375,0.16786119295897567,True,True,True,True
pt011,MR1,019_to_018_warp.nii.gz,0.48974582941663336,0.5784196902745175,8.204292697134745,0.0012361349645949407,0.08346596131721395,0.2642970319457003,1.2384406893227367,0.9999821956021547,0.32248982681203625,-2.081957755853982,22.127427128643347,0.010078125,1.121328125,0.21849453829217527,True,True,True,True
pt011,MR1,020_to_019_warp.nii.gz,0.42977007871555095,0.5235185545846412,8.186530235722023,0.0011198657756901177,0.07906806077819004,0.23752529527936514,1.0438669036032637,0.9992829456093164,0.2977325712392733,-0.5883177702382508,17.915393553531676,0.007578125,0.76984375,0.17832194725490833,True,True,True,True
pt011,MR1,021_to_020_warp.nii.gz,0.3755456863272702,0.45447590296114354,7.757710810009037,0.0015762595780928988,0.07813296794996842,0.22268306111249594,0.8516709129089406,0.9980159154408564,0.24784701661058597,-2.4549334863629326,15.654931502778437,0.010234375,0.50953125,0.145018628552026,True,True,True,True
